frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,35
1,0,55.0936,1024,343,0,35
2,0.143255,54.9845,1022,342,0,35
3,0.145518,53.7085,1019,343,0,35
4,0.401505,53.4005,1018,343,0,35
5,0.257471,53.274,1022,343,0,35
6,0.55915,53.1968,1020,343,108.201,35
7,0.942617,54.1296,1020,343,106.4,35
8,0.504468,46.1428,1017,343,124.14,35
9,0.308299,46.6372,524,323,122.868,35
10,0.206331,44.2895,522,323,129.154,35
11,0.397466,45.6797,526,322,125.355,35
12,0.594696,53.4515,525,322,107.703,35
13,0.28359,47.3854,1014,343,120.994,35
14,0.152919,52.8188,524,323,108.949,35
15,0.185062,47.4259,1015,343,120.894,35
16,0.290935,46.5635,524,323,123.056,35
17,0.498227,46.7197,524,323,122.659,35
18,0.105477,47.0224,525,323,121.896,35
19,0.407331,41.318,526,323,138.115,35
20,0.55879,45.6784,248,275,125.358,35
21,0.205721,47.3903,525,323,120.982,35
22,0.0473402,46.077,523,323,124.311,35
23,0.358388,44.9222,524,323,127.396,35
24,0.578038,44.4873,524,322,128.599,35
25,0.168164,46.3834,529,321,123.517,35
26,0.18687,46.6689,529,321,122.788,35
27,0.460635,45.0005,530,321,127.182,35
28,0.70318,44.3458,531,321,128.995,35
29,0.812727,44.6985,525,324,128.012,35
30,0.59734,45.4662,521,324,125.923,35
31,0.326003,47.1994,527,324,121.454,35
32,0.306632,46.8859,526,324,122.239,35
33,0.325829,46.1134,527,324,124.216,35
34,0.298753,47.486,527,324,120.746,35
35,0.0798346,46.2064,525,325,123.974,35
36,0.167899,45.4476,529,324,125.973,35
37,0.180538,45.0456,529,323,127.059,35
38,0.214521,46.3413,529,324,123.626,35
39,0.512771,46.3127,533,323,123.7,35
40,0.54748,45.4392,534,322,125.996,35
41,0.551067,45.7382,534,322,125.2,35
42,0.127112,46.8535,535,321,122.32,35
43,0.105799,43.9218,534,322,130.198,35
44,0.127718,43.0433,535,322,132.764,35
45,0.0684932,42.7062,533,323,133.776,35
