frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,45
1,0,37.7295,600,303,0,45
2,0.248221,37.3157,600,305,0,45
3,0.82413,42.3741,599,305,0,45
4,0.309035,43.115,600,303,0,45
5,0.417955,39.6443,598,304,0,45
6,0.553823,40.9602,601,303,139.28,45
7,0.222344,41.9296,600,304,136.169,45
8,0.49228,40.3377,598,303,141.356,45
9,1.43746,45.0256,598,305,127.114,45
10,1.3999,43.1935,595,304,132.318,45
11,0.818877,59.7211,597,305,96.7615,45
12,0.501311,57.4415,1042,338,100.468,45
13,0.665858,55.558,1039,338,103.756,45
14,0.388265,56.3798,1037,338,102.295,45
15,1.39357,41.371,1037,338,137.944,45
16,1.64815,39.1824,595,305,145.38,45
17,0.768297,59.1963,600,303,97.59,45
18,0.492454,44.4939,1039,337,128.581,45
19,0.235978,58.2413,598,303,99.1352,45
20,0.198398,58.1878,1037,337,99.2232,45
21,0.520912,58.1485,1039,338,99.2879,45
22,1.35163,59.0924,1040,338,97.7557,45
23,1.329,54.8233,1039,338,105.099,45
24,0.519561,42.9622,1033,338,133.006,45
25,0.0741685,56.065,591,307,102.85,45
26,0.156559,43.4868,1035,338,131.456,45
27,0.314581,40.6805,593,306,140.205,45
28,0.137768,58.0712,595,306,99.4156,45
29,1.06846,56.4885,1036,338,102.105,45
30,0.91793,42.7498,1037,338,133.644,45
31,0.319506,42.6779,599,306,133.862,45
32,1.05947,59.132,597,305,97.6924,45
33,0.534241,40.1451,1037,338,142.011,45
34,0.671678,42.9695,598,306,132.984,45
35,0.871838,38.9742,596,305,146.13,45
36,0.565216,37.4527,596,305,151.86,45
37,0.334169,40.4214,596,307,141.073,45
38,0.477609,42.1893,596,305,135.359,45
39,0.344575,42.6569,596,306,133.925,45
40,0.669084,40.8835,598,306,139.533,45
41,0.223328,42.5353,598,306,134.295,45
42,0.370976,43.8323,596,313,130.455,45
43,0.940523,45.5,597,313,125.833,45
44,1.32861,43.6588,593,314,130.955,45
45,1.49533,39.062,594,313,145.813,45
46,0.714986,40.9302,597,307,139.379,45
47,0.408597,41.5328,593,312,137.425,45
48,0.339207,39.5301,591,312,144.144,45
49,0.55127,41.0423,596,308,139.011,45
50,0.175341,41.6255,594,312,137.129,45
51,0.167471,40.8522,593,312,139.636,45
52,0.432784,41.9038,593,313,136.249,45
53,1.17749,42.1916,592,313,135.352,45
54,1.2669,41.7244,591,312,136.815,45
55,0.958052,41.1792,591,312,138.565,45
56,0.978814,40.8759,591,312,139.558,45
57,1.01986,42.4027,591,307,134.701,45
58,1.3818,40.3596,587,312,141.282,45
59,1.11233,41.2057,593,307,138.479,45
60,0.570289,40.9338,587,312,139.367,45
61,0.305551,39.3587,590,312,144.751,45
62,0.525943,40.5006,591,308,140.806,45
63,0.530039,39.6611,588,312,143.684,45
64,0.598347,37.1442,584,312,153.078,45
65,0.823374,38.1334,587,311,149.241,45
66,1.02324,38.8908,586,311,146.433,45
67,1.60971,37.8866,589,309,150.18,45
