frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,55
1,0,38.5409,510,318,0,55
2,0.908999,43.0815,509,318,0,55
3,1.05577,40.417,236,278,0,55
4,1.36476,40.1797,512,319,0,55
5,1.40953,41.4498,512,320,0,55
6,0.634489,38.4868,516,320,147.917,55
7,0.190646,38.2101,518,319,148.952,55
8,0.595511,39.3871,517,320,144.65,55
9,0.637434,40.3744,520,320,141.232,55
10,0.518911,38.9102,519,320,146.362,55
11,0.774385,42.2273,516,320,135.241,55
12,0.72854,38.1292,511,321,149.257,55
13,0.317965,39.7577,514,320,143.347,55
14,1.18488,36.3057,512,319,156.492,55
15,1.31406,40.0347,520,318,142.389,55
16,0.847743,37.5583,514,320,151.448,55
17,0.298189,38.6909,526,318,147.163,55
18,0.142645,39.8315,527,319,143.091,55
19,0.173159,38.6645,526,320,147.26,55
20,0.952676,40.9655,525,319,139.263,55
21,1.77413,37.2008,522,319,152.853,55
22,1.71813,36.4659,523,319,155.828,55
23,0.837434,36.591,518,319,155.313,55
24,0.204296,36.6895,518,318,154.91,55
25,0.448458,36.5515,521,318,155.475,55
26,0.610258,36.9315,525,318,153.93,55
27,0.671734,38.3011,525,319,148.61,55
28,0.164141,42.9174,526,320,133.14,55
29,0.251472,39.4159,243,280,144.548,55
30,1.46839,41.0106,527,320,139.115,55
31,2.00226,37.9088,525,319,150.095,55
32,2.43847,37.3979,523,319,152.075,55
33,2.27929,36.3153,522,319,156.452,55
34,2.07251,33.821,519,319,167.584,55
35,1.6616,35.109,516,318,161.641,55
36,1.32693,36.3292,516,318,156.394,55
37,1.0708,36.1881,516,318,156.983,55
38,1.04931,35.9695,515,319,157.905,55
39,1.31552,36.0222,513,319,157.682,55
40,1.5955,35.3969,515,320,160.371,55
41,2.42328,35.7869,511,319,158.683,55
42,2.65574,36.9982,513,318,153.662,55
43,2.82342,36.0496,510,319,157.566,55
44,2.80607,38.9542,505,319,146.202,55
45,2.63576,37.7821,504,320,150.581,55
46,2.20395,37.652,502,321,151.084,55
47,1.48288,36.8577,500,321,154.228,55
48,0.981759,37.1147,501,321,153.196,55
49,0.565407,36.1796,500,321,157.019,55
50,0.979529,36.756,497,321,154.64,55
51,1.28365,37.9278,497,322,150.022,55
52,1.491,37.3448,497,322,152.284,55
53,1.89358,36.1165,496,322,157.284,55
54,2.44643,36.1641,493,322,157.084,55
55,2.63576,36.8407,490,321,154.296,55
56,2.83482,36.5223,488,322,155.595,55
57,2.67664,36.3584,485,321,156.273,55
58,2.44036,37.6511,484,321,151.087,55
59,2.30095,37.3198,483,321,152.383,55
60,2.48016,37.7873,482,321,150.561,55
61,2.74118,38.5139,481,321,147.817,55
62,2.74925,38.3481,479,321,148.434,55
63,2.91718,38.4022,477,321,148.232,55
64,3.02384,37.7665,477,323,150.641,55
65,3.13728,38.1151,475,324,149.31,55
66,3.37388,38.859,472,324,146.548,55
67,3.56802,39.9666,467,324,142.624,55
68,3.05819,39.5583,464,325,144.045,55
69,2.56441,39.9672,461,325,142.622,55
70,2.51326,42.0452,457,324,135.807,55
71,2.85972,44.1565,453,325,129.529,55
72,3.14338,45.9477,449,324,124.649,55
73,3.59968,45.2119,444,324,126.608,55
74,4.18775,46.6032,441,324,122.955,55
75,4.83682,49.6505,438,324,115.658,55
76,4.95602,46.7147,434,324,122.671,55
77,5.11129,46.3806,430,324,123.525,55
78,4.9311,46.6951,428,324,122.721,55
79,5.02533,48.7006,425,324,117.836,55
80,5.01323,47.904,422,325,119.728,55
81,5.12336,49.9313,414,326,115.029,55
82,5.55447,49.6489,408,327,115.661,55
83,5.91581,50.2762,404,327,114.267,55
84,6.5484,50.1866,397,329,114.464,55
85,7.22844,52.0698,390,329,110.463,55
86,7.76029,52.274,382,330,110.046,55
87,8.21028,53.7913,376,331,107.046,55
88,8.8149,69.8444,371,333,83.1792,55
89,9.10816,69.9751,367,335,83.0292,55
90,8.94364,73.1801,363,335,79.514,55
91,8.94201,77.3745,356,335,75.3465,55
92,9.41613,79.6659,346,336,73.2521,55
93,10.5313,81.7161,333,337,71.4761,55
94,11.1848,81.9659,321,337,71.2657,55
95,11.8895,84.5345,310,338,69.1729,55
96,12.5915,85.0303,302,339,68.7834,55
97,13.5199,86.2004,292,340,67.8812,55
98,14.8946,86.896,276,341,67.3563,55
99,16.3106,88.7742,253,341,65.9793,55
100,16.6291,85.5048,241,342,68.4146,55
101,17.1981,87.0234,228,341,67.261,55
102,18.1457,94.7215,214,341,61.9734,55
103,19.2052,107.854,201,344,54.6685,55
104,20.569,115.192,190,348,51.3012,55
105,23.0454,117.172,162,345,50.4634,55
106,25.0667,116.362,147,346,50.8028,55
107,26.6727,116.118,128,349,50.9058,55
108,28.2501,115.675,119,351,51.0941,55
109,29.2208,113.95,106,356,51.8409,55
110,23.0805,114.139,87,356,51.7581,55
111,27.7808,122.129,74,358,48.4836,55
112,30.2263,116.671,66,361,50.6727,55
113,32.3785,91.1965,56,360,64.2857,55
114,2.53373,46.2332,46,357,123.905,55
115,0.997047,43.7757,993,342,130.618,55
116,0.922902,45.0304,994,341,127.1,55
117,0.923278,44.7394,996,341,127.899,55
118,0.539358,45.3756,997,342,126.166,55
