frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,90
1,0,41.3099,129,385,0,90
2,9.30665,46.0617,117,385,0,90
3,9.5704,54.3103,106,384,0,90
4,9.77515,55.9565,92,384,0,90
5,9.92203,41.2868,84,384,0,90
6,10.3097,38.7229,87,384,147.046,90
7,10.1829,37.0273,95,382,153.545,90
8,9.96951,35.3387,107,382,160.627,90
9,21.2842,31.4834,114,381,179.588,90
10,11.6191,28.337,115,383,198.814,90
11,16.6991,28.856,127,385,195.359,90
12,4.01938,44.1193,129,386,129.635,90
13,6.96579,43.4753,156,380,131.489,90
14,7.10058,40.3786,148,379,141.217,90
15,7.03967,42.614,141,382,134.056,90
16,6.84608,43.7815,140,383,130.601,90
17,6.94428,42.3279,133,384,134.931,90
18,6.90052,42.5567,130,384,134.23,90
19,6.76892,45.1317,125,387,126.825,90
20,6.8436,42.9753,123,387,132.967,90
21,6.87494,45.891,118,387,124.797,90
22,7.1693,46.1745,110,388,124.057,90
23,7.20927,44.5999,109,390,128.285,90
24,7.46786,47.52,104,392,120.663,90
25,7.72181,47.7352,99,390,120.137,90
26,7.99559,37.7364,91,389,150.757,90
27,8.2288,39.7813,83,389,143.265,90
28,8.44457,31.4835,80,389,179.588,90
29,2.72116,29.8413,264,378,189.125,90
30,2.69446,46.0058,671,356,124.497,90
31,8.83341,32.0021,61,386,176.775,90
32,3.14516,52.745,668,355,109.097,90
33,21.6088,32.5745,56,384,173.774,90
34,3.40706,26.9618,665,355,208.601,90
35,3.91149,27.2191,658,356,206.695,90
36,3.93756,34.2146,651,357,165.721,90
37,3.91164,34.0048,652,358,166.709,90
38,3.99824,34.3044,650,360,165.302,90
39,4.43699,33.8267,646,363,167.556,90
40,4.61976,34.1978,640,363,165.8,90
41,5.2508,36.0763,636,364,157.453,90
42,5.74435,34.5539,631,366,164.149,90
43,6.15291,37.8574,626,367,150.292,90
44,6.50902,42.6131,625,369,134.058,90
45,7.05385,40.2947,620,371,141.502,90
46,7.32969,37.9791,613,372,149.827,90
47,7.93356,46.7025,608,375,122.702,90
48,8.73899,51.2914,600,376,112.082,90
49,9.73004,52.0604,588,376,110.482,90
50,11.0638,57.1348,578,379,100.989,90
51,11.1115,58.8549,573,380,98.1367,90
52,12.1175,66.7466,562,378,86.9052,90
53,13.5114,73.3334,556,378,79.3534,90
54,16.8869,86.4763,531,382,67.672,90
55,17.1304,90.9771,517,385,64.4354,90
56,20.0042,101.52,508,388,57.9602,90
57,23.2877,122.918,490,390,48.183,90
58,27.6673,123.784,466,395,47.8572,90
59,32.5497,172.568,444,400,34.7189,90
60,39.7588,175.309,414,416,34.1946,90
61,48.8734,195.94,374,422,30.7103,90
62,12.8546,205.603,335,424,29.315,90
63,19.2476,252.415,289,431,24.0458,90
64,9.34806,320.31,237,448,19.1032,90
65,0.45609,337.678,194,471,18.1533,90
66,5.99051,271.698,187,474,22.3953,90
