frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,80
1,0,28.9573,762,337,0,80
2,0.442163,28.4772,762,338,0,80
3,1.54234,28.578,760,338,0,80
4,1.61844,30.0979,761,340,0,80
5,1.53225,31.8414,758,344,0,80
6,1.17052,32.488,757,344,174.221,80
7,0.559196,34.4118,759,344,164.804,80
8,1.35401,31.7623,761,345,178.064,80
9,0.917397,35.7915,758,345,158.663,80
10,0.483931,33.058,759,345,171.319,80
11,0.830355,31.2039,756,346,181.142,80
12,0.902532,31.2964,753,346,180.624,80
13,1.27705,31.0526,752,345,181.994,80
14,1.24427,33.9855,751,348,166.8,80
15,2.04759,28.9459,749,349,194.773,80
16,1.49048,30.7843,748,350,183.526,80
17,1.27343,33.0674,748,353,171.271,80
18,1.80525,31.9248,750,353,177.189,80
19,1.57615,32.7223,748,355,173.016,80
20,0.716395,34.8241,747,355,162.919,80
21,0.545785,36.7259,748,356,154.762,80
22,0.915103,36.6409,750,357,155.109,80
23,1.99817,38.6521,752,355,147.306,80
24,0,0,0,0,0,80
25,0,0,0,0,0,80
26,5.04497,37.2669,752,352,152.592,80
27,1.00738,35.9684,756,350,157.91,80
28,0,0,0,0,0,80
29,0,0,0,0,0,80
30,2.99332,36.3961,757,349,156.117,80
31,0.402838,41.4334,757,348,137.743,80
32,0,0,0,0,0,80
33,0,0,0,0,0,80
34,0,0,0,0,0,80
35,0,0,0,0,0,80
36,0,0,0,0,0,80
37,0,0,0,0,0,80
38,0,0,0,0,0,80
39,0,0,0,0,0,80
40,0,0,0,0,0,80
41,0,0,0,0,0,80
42,14.534,55.6311,708,352,103.625,80
43,1.0221,40.7212,704,353,140.07,80
44,0,0,0,0,0,80
45,0,0,0,0,0,80
46,3.26721,39.3188,707,353,144.893,80
47,1.25376,37.6872,714,351,150.947,80
48,0.922873,34.6136,714,352,163.875,80
49,1.43844,42.0576,713,351,135.768,80
50,1.16095,39.6124,714,353,143.855,80
51,1.04594,39.587,715,353,143.944,80
52,1.79346,49.0448,712,352,117.037,80
53,2.16184,41.0875,710,356,138.863,80
54,1.89194,46.2057,716,357,123.976,80
55,3.50433,51.7932,710,363,111.032,80
56,1.81219,47.5388,711,364,120.616,80
57,3.64579,44.8237,712,367,127.667,80
58,4.67823,45.4673,710,372,125.921,80
59,4.09313,47.9496,711,376,119.618,80
60,3.3148,45.0559,709,378,127.031,80
61,2.24427,38.4781,707,380,147.949,80
62,1.53962,39.3956,713,380,144.62,80
63,2.38753,44.5585,709,380,128.401,80
64,3.52357,37.0524,705,379,153.445,80
65,3.17547,34.9488,705,377,162.357,80
66,2.46203,36.6732,704,375,154.977,80
67,3.41096,42.0281,704,372,135.86,80
68,5.53739,34.0269,698,370,166.604,80
69,6.14263,32.6869,704,362,173.197,80
70,7.20904,33.9866,696,355,166.795,80
71,6.03679,31.8677,694,345,177.496,80
72,3.99436,34.2096,686,341,165.745,80
73,2.12912,36.1315,681,337,157.221,80
74,0.457108,35.0141,681,339,162.065,80
75,4.49256,33.0096,680,339,171.561,80
76,1.01359,31.4048,679,342,180.022,80
77,5.48789,34.7132,675,342,163.421,80
78,5.38375,37.0251,677,347,153.554,80
79,2.90849,40.4074,676,355,141.12,80
80,4.29622,38.353,673,355,148.416,80
81,2.04574,35.1411,670,359,161.499,80
82,4.00123,42.194,672,357,135.344,80
83,4.52473,37.428,665,356,151.957,80
84,4.77838,36.9736,666,350,153.761,80
85,5.71698,34.0855,663,346,166.327,80
86,4.99221,33.6926,666,341,168.2,80
87,3.38389,39.9337,666,336,142.737,80
88,3.40623,41.1796,656,337,138.563,80
89,4.1385,38.7107,653,338,147.091,80
90,4.77349,38.0048,650,339,149.729,80
91,4.83764,39.7346,645,342,143.428,80
92,7.09211,43.3379,639,345,131.892,80
93,7.50957,45.4029,630,354,126.093,80
94,7.79858,56.2626,625,358,102.501,80
95,7.96844,55.3344,616,362,104.161,80
96,6.62714,53.4119,615,364,107.78,80
97,7.49212,53.9441,607,365,106.753,80
98,8.27582,52.4297,597,367,109.73,80
99,8.60281,54.0954,592,367,106.465,80
100,9.48617,54.9631,591,366,104.841,80
101,10.8474,85.8565,581,368,68.1438,80
102,14.0528,93.1006,541,370,63.0153,80
103,15.5221,103.01,539,375,57.1501,80
104,13.9896,109.983,529,380,53.6459,80
105,15.2976,113.084,512,382,52.2245,80
106,16.5543,119.756,493,385,49.4113,80
107,22.6121,125.849,476,386,47.0984,80
108,28.0592,135.481,459,388,43.8602,80
109,33.0366,144.379,436,392,41.2464,80
110,40.5324,160.686,411,394,37.1959,80
111,48.9827,239.995,381,405,25.2467,80
112,12.9517,250.032,340,413,24.2671,80
113,20.1128,292.543,295,423,20.852,80
114,12.4648,358.725,246,435,17.1235,80
115,1.18269,410.293,201,456,15.0399,80
116,0.053805,350.008,193,471,17.5352,80
117,5.89715,325.852,169,449,18.7893,80
118,16.7751,237.647,128,462,25.4877,80
119,3.4178,35.788,61,477,158.678,80
