frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,60
1,0,0,0,0,0,60
2,0,0,0,0,0,60
3,0,0,0,0,0,60
4,0,0,0,0,0,60
5,0,0,0,0,0,60
6,0,0,0,0,0,60
7,0,0,0,0,0,60
8,0,0,0,0,0,60
9,0,0,0,0,0,60
10,0,0,0,0,0,60
11,0,0,0,0,0,60
12,0,0,0,0,0,60
13,0,0,0,0,0,60
14,0,0,0,0,0,60
15,0,0,0,0,0,60
16,0,0,0,0,0,60
17,0,0,0,0,0,60
18,0,0,0,0,0,60
19,0,0,0,0,0,60
20,0,0,0,0,0,60
21,0,38.8377,698,376,0,60
22,0.975645,45.5678,699,374,125.652,60
23,0.835413,35.8287,699,376,158.504,60
24,1.00724,35.0777,700,375,161.781,60
25,0.933992,34.6948,697,375,163.505,60
26,0.754869,32.7316,696,375,172.968,60
27,1.22023,33.7368,697,374,167.988,60
28,0.858949,35.9734,699,377,157.888,60
29,0.822772,36.2259,695,377,156.825,60
30,0.977016,33.6945,698,377,168.192,60
31,0.769972,29.9459,697,377,188.487,60
32,0.721709,30.9003,694,377,182.86,60
33,0.961527,32.6386,694,377,173.444,60
34,0.818839,27.0404,695,377,208.015,60
35,1.29623,32.8109,696,376,172.564,60
36,1.27197,36.8202,701,377,154.379,60
37,0.988135,31.7657,702,379,178.046,60
38,1.0289,30.6427,701,378,184.345,60
39,1.10828,32.7242,700,378,173.006,60
40,1.48315,23.9911,698,378,233.5,60
41,1.03091,31.3275,692,378,180.451,60
42,1.06946,39.8857,701,377,142.903,60
43,0.883726,61.9761,699,377,93.3585,60
44,3.22569,58.3171,128,397,99.0106,60
45,3.00082,59.523,130,397,97.0724,60
46,2.81936,62.4828,125,396,92.6272,60
47,3.42419,36.868,122,396,154.186,60
48,1.40275,64.2135,693,379,90.2145,60
49,3.06287,61.8275,123,403,93.5752,60
50,3.29086,58.4133,118,399,98.8532,60
51,3.1927,58.6999,118,400,98.387,60
52,3.34369,59.0403,116,400,97.839,60
53,3.27243,58.461,114,400,98.7753,60
54,3.4947,57.463,113,400,100.432,60
55,3.7341,56.9057,108,400,101.382,60
56,3.54634,57.0766,106,399,101.088,60
57,3.58933,57.4307,106,399,100.486,60
58,3.32864,58.1267,103,399,99.324,60
59,3.59114,63.3723,98,397,91.3709,60
60,3.40028,63.8945,99,396,90.6496,60
61,3.43217,62.0606,97,397,93.2357,60
62,3.82972,64.6363,92,397,89.6445,60
63,3.22273,62.6955,92,397,92.3236,60
64,3.47195,62.9875,88,398,91.9102,60
65,3.4047,68.7108,87,399,84.5045,60
66,3.50908,65.8908,90,396,87.9954,60
67,4.32299,70.9396,83,395,81.9384,60
68,3.63779,37.203,83,394,152.845,60
69,3.23295,36.718,658,370,154.794,60
70,3.24081,36.8018,653,369,154.454,60
71,3.17628,42.2289,652,368,135.236,60
72,3.72344,43.1341,645,369,132.494,60
73,4.01991,42.9706,642,371,132.981,60
74,5.0669,42.731,638,372,133.701,60
75,4.73287,49.1086,633,378,116.89,60
76,4.03938,52.3125,629,381,109.968,60
77,5.17784,53.5674,620,381,107.478,60
78,3.76494,51.7809,621,383,111.058,60
79,3.83503,51.571,616,384,111.495,60
80,4.18785,53.5836,614,386,107.447,60
81,4.36725,55.5566,610,385,103.759,60
82,4.8067,56.2932,610,386,102.447,60
83,5.19418,60.5208,602,385,95.5261,60
84,5.71982,55.967,605,383,103.024,60
85,5.70706,53.4558,595,382,107.695,60
86,6.05627,58.4105,601,383,98.8578,60
87,6.2716,55.961,593,381,103.034,60
88,6.78208,59.4381,589,382,97.2064,60
89,7.4299,67.234,578,383,86.2966,60
90,9.26793,71.6976,535,380,81.1016,60
91,10.279,74.3482,528,381,78.3069,60
92,10.9491,79.7916,520,382,73.1407,60
93,12.1577,83.1068,511,387,70.3205,60
94,13.4795,88.1867,502,387,66.4038,60
95,12.8411,91.236,495,389,64.2588,60
96,14.3865,92.3973,485,392,63.4785,60
97,15.6991,100.62,473,395,58.4607,60
98,17.6589,105.2,458,397,56.0001,60
99,19.6681,121.081,446,397,48.8887,60
100,22.616,154.994,424,402,38.5144,60
101,25.6128,176.066,420,417,34.0525,60
102,28.9665,187.858,384,420,31.9856,60
103,33.3201,194.109,358,422,30.9901,60
104,38.9898,195.264,325,431,30.8129,60
105,43.8152,209.879,304,435,28.7379,60
106,50.7746,242.527,269,445,24.9921,60
107,18.3109,277.283,229,452,21.9594,60
108,15.6711,339.598,198,461,18.0542,60
109,0.641181,330.653,195,475,18.5258,60
110,0.0457736,318.027,178,477,19.2357,60
111,6.14257,277.793,161,463,21.9204,60
112,1.46267,318.379,133,458,19.2151,60
113,12.2394,209.064,99,468,28.8461,60
