1.0207,27.3329,703,343,205.865,70
0.638142,31.5238,706,343,179.365,70
0.356846,26.4717,704,343,212.33,70
0.503764,27.8655,699,343,202.062,70
0.591362,27.7005,704,343,203.225,70
0.532589,28.2844,701,343,199.171,70
0.47365,32.4226,693,343,174.56,70
0.46552,27.5606,695,339,204.222,70
0.393779,28.7383,699,340,196.132,70
0.426864,27.7894,698,339,202.597,70
0.799937,26.0748,703,341,215.451,70
1.1647,28.6599,695,344,196.65,70
1.32465,24.6442,701,344,227.521,70
1.43792,26.5412,703,346,211.793,70
1.44886,26.0536,705,348,215.62,70
1.41218,27.4629,702,349,204.923,70
1.36377,26.2753,699,351,213.863,70
1.26778,25.1368,698,352,223.212,70
1.19756,25.9825,697,353,216.19,70
1.08324,27.4936,699,357,204.702,70
0.796397,26.8195,698,356,209.67,70
0.641671,26.2698,691,355,213.906,70
0.515729,25.8057,696,356,217.621,70
0.752152,29.281,695,354,192.619,70
0.837317,31.2039,697,354,181.142,70
0.975792,37.4732,698,356,151.78,70
1.46964,35.325,695,359,160.687,70
2.24955,36.9503,701,363,153.854,70
2.68661,41.7197,701,367,136.83,70
1.67266,39.3177,699,367,144.897,70
0.751117,39.9142,701,370,142.804,70
0.649703,39.391,698,369,144.636,70
1.13316,36.433,700,366,155.964,70
1.59873,35.9773,698,364,157.872,70
1.58371,36.3208,695,362,156.429,70
1.69389,37.913,694,360,150.079,70
1.56967,39.3755,691,360,144.691,70
1.12047,36.2787,691,359,156.605,70
0.981704,35.7733,688,358,158.741,70
0.975491,36.3784,688,358,156.19,70
0.977301,30.2306,689,359,186.772,70
1.15972,37.1002,687,356,153.254,70
1.25607,38.8778,688,355,146.48,70
1.15828,38.5082,688,353,147.838,70
1.12898,42.076,688,353,135.711,70
1.26809,38.7517,684,349,146.94,70
1.23692,36.5671,686,349,155.411,70
1.10116,41.2207,684,349,138.43,70
1.17502,39.8646,687,347,142.976,70
1.16198,41.5273,689,347,137.443,70
1.1413,38.5294,683,345,147.759,70
1.10707,38.686,682,345,147.181,70
1.08642,37.7111,682,344,150.855,70
1.05953,39.2082,681,345,145.287,70
1.04641,40.9598,680,346,139.282,70
1.16995,39.9438,679,347,142.702,70
1.23701,40.2074,682,346,141.798,70
1.1661,41.8728,677,351,136.347,70
1.23435,41.8519,676,350,136.413,70
1.3588,43.0684,672,351,132.689,70
1.37778,44.8329,671,352,127.641,70
1.40722,47.4506,674,351,120.833,70
1.30956,44.0426,675,349,129.853,70
1.20701,51.2995,671,346,112.065,70
1.25014,45.0298,670,348,127.102,70
1.25086,51.874,667,348,110.865,70
1.32912,45.2358,664,347,126.543,70
1.54093,46.1777,659,349,124.049,70
1.81588,47.3761,663,349,121.017,70
1.87376,49.0837,660,351,116.947,70
1.91744,46.968,657,353,122.032,70
2.08799,46.0731,658,355,124.321,70
2.05508,52.2551,657,356,110.084,70
1.96862,53.387,653,357,107.829,70
1.99384,55.5404,654,357,103.788,70
2.03885,54.7637,652,357,105.21,70
2.08232,58.2898,652,355,99.0554,70
2.16704,58.8812,648,356,98.0944,70
2.27909,65.298,642,357,88.7668,70
2.38295,59.0192,634,358,97.8728,70
2.52935,65.0753,633,357,89.0602,70
2.68429,60.4618,632,357,95.6162,70
2.81104,57.576,631,356,100.241,70
2.88141,52.5197,629,356,109.549,70
2.99569,52.9281,632,355,108.732,70
3.14861,47.583,629,356,120.508,70
3.2983,41.2156,634,354,138.447,70
3.3125,39.5767,632,353,143.98,70
3.06935,38.4102,637,352,148.202,70
2.03108,37.0174,643,351,153.585,70
0.75203,75.8342,650,348,76.8243,70
0.418059,78.6176,523,370,74.1954,70
3.95212,81.7077,524,370,71.4832,70
7.61954,88.3217,516,371,66.3058,70
8.09622,159.694,511,376,37.419,70
8.37694,166.377,490,421,35.9661,70
10.5796,165.27,487,419,36.1988,70
12.7659,168.918,476,417,35.4434,70
13.8621,170.561,460,416,35.1135,70
15.8898,181.017,442,415,33.1525,70
17.6815,188.144,425,415,31.9386,70
19.9897,214.525,405,416,28.1365,70
23.0397,213.609,351,416,28.253,70
27.6336,227.023,326,420,26.6389,70
33.601,245.727,288,431,24.6776,70
19.2992,256.667,246,435,23.6608,70
3.37472,350.891,215,448,17.4926,70
6.31203,304.312,176,467,20.0725,70
9.14908,276.356,150,443,22.0305,70
9.11006,328.1,140,450,18.6649,70
4.52522,165.982,98,470,36.0489,70
1.26734,21.5331,53,469,259.199,70
1.45607,23.0168,661,327,243.041,70
0.951974,24.513,660,326,228.696,70
