frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,55
1,0,0,0,0,0,55
2,0,0,0,0,0,55
3,0,0,0,0,0,55
4,0,0,0,0,0,55
5,0,0,0,0,0,55
6,0,0,0,0,0,55
7,0,0,0,0,0,55
8,0,0,0,0,0,55
9,0,0,0,0,0,55
10,0,0,0,0,0,55
11,0,0,0,0,0,55
12,0,0,0,0,0,55
13,0,0,0,0,0,55
14,0,0,0,0,0,55
15,0,0,0,0,0,55
16,0,0,0,0,0,55
17,0,0,0,0,0,55
18,0,0,0,0,0,55
19,0,0,0,0,0,55
20,0,0,0,0,0,55
21,0,0,0,0,0,55
22,0,0,0,0,0,55
23,0,0,0,0,0,55
24,0,0,0,0,0,55
25,0,0,0,0,0,55
26,0,0,0,0,0,55
27,0,0,0,0,0,55
28,0,46.3823,674,279,0,55
29,0,0,0,0,0,55
30,0,0,0,0,0,55
31,2.85875,50.0139,678,282,114.846,55
32,0,0,0,0,0,55
33,0,0,0,0,0,55
34,0,0,0,0,0,55
35,0,0,0,0,0,55
36,0,0,0,0,0,55
37,0,0,0,0,0,55
38,0,0,0,0,0,55
39,0,0,0,0,0,55
40,0,0,0,0,0,55
41,3.27977,50.0137,1223,162,114.846,55
42,0.467006,44.684,676,281,128.052,55
43,0.953625,41.921,680,283,136.195,55
44,0,0,0,0,0,55
45,0,0,0,0,0,55
46,0,0,0,0,0,55
47,0,0,0,0,0,55
48,2.64598,49.2659,679,287,116.53,55
49,0.141638,44.3701,679,287,128.927,55
50,0,0,0,0,0,55
51,0,0,0,0,0,55
52,0,0,0,0,0,55
53,0,0,0,0,0,55
54,1.53115,43.6953,681,287,130.85,55
55,0.954089,38.2176,681,288,148.923,55
56,0,0,0,0,0,55
57,0,0,0,0,0,55
58,0,0,0,0,0,55
59,0,0,0,0,0,55
60,0,0,0,0,0,55
61,0,0,0,0,0,55
62,0,0,0,0,0,55
63,3.55959,44.8978,682,291,127.463,55
64,0,0,0,0,0,55
65,0,0,0,0,0,55
66,0,0,0,0,0,55
67,0,0,0,0,0,55
68,0,0,0,0,0,55
69,0,0,0,0,0,55
70,0,0,0,0,0,55
71,0,0,0,0,0,55
72,0,0,0,0,0,55
73,0,0,0,0,0,55
74,0,0,0,0,0,55
75,0,0,0,0,0,55
76,0,0,0,0,0,55
77,0,0,0,0,0,55
78,0,0,0,0,0,55
79,0,0,0,0,0,55
80,0,0,0,0,0,55
81,0,0,0,0,0,55
82,0,0,0,0,0,55
83,0,0,0,0,0,55
84,0,0,0,0,0,55
85,0,0,0,0,0,55
86,8.91292,39.3762,673,294,144.688,55
87,0.780978,37.9715,672,294,149.856,55
88,0.787133,36.7902,672,295,154.501,55
89,0.559702,34.7235,671,295,163.375,55
90,1.17598,32.3601,672,295,174.886,55
91,0.862665,34.6925,675,296,163.515,55
92,0.450833,31.6701,674,296,178.565,55
93,0.4845,32.3044,673,297,175.177,55
94,0.69025,32.781,673,297,172.716,55
95,0.486493,34.1195,671,297,166.167,55
96,0.749178,31.0713,672,297,181.888,55
97,0.430858,31.4863,669,297,179.572,55
98,0.539701,28.5406,669,297,197.444,55
99,1.35376,26.3235,671,298,213.484,55
100,0.31573,25.0199,670,297,224.22,55
101,0.596673,26.1882,670,297,214.55,55
102,0.398083,26.9145,668,297,208.955,55
103,0.699255,24.5599,669,297,228.275,55
104,0.525483,25.6209,669,298,219.137,55
105,1.06563,22.4852,669,297,248.589,55
106,0.121099,23.3362,668,297,239.827,55
107,1.53761,24.8192,666,296,225.971,55
108,0.517793,28.9167,668,296,194.963,55
109,1.72049,23.7237,668,297,236.042,55
110,0.270388,25.609,668,298,219.235,55
111,1.11818,23.7416,670,299,235.871,55
112,1.97298,24.2488,673,300,231.103,55
113,0.872067,22.8505,675,301,244.749,55
114,1.49884,25.4649,675,302,220.434,55
115,2.32539,23.1728,677,303,241.46,55
116,0.434835,22.9283,677,302,243.948,55
117,1.64334,22.705,676,303,246.264,55
118,1.92155,21.7416,677,302,256.797,55
119,2.45394,20.5599,678,301,271.04,55
120,2.52149,22.0453,675,299,253.38,55
121,0.481571,20.4753,673,296,272.122,55
122,2.35042,20.7718,675,297,268.369,55
123,0.431819,20.8381,680,296,267.544,55
124,0.430903,22.7888,679,297,245.389,55
125,0.56375,22.7094,681,297,246.218,55
126,1.5936,21.6433,683,295,257.923,55
127,0.434576,21.361,682,298,261.216,55
128,1.17545,21.6704,680,297,257.611,55
129,3.6333,19.342,684,294,287.508,55
130,1.18617,19.666,679,299,282.932,55
131,2.03983,21.1161,681,300,264.141,55
132,0.994158,20.8023,681,301,267.988,55
133,0.673381,19.9449,678,300,279.109,55
134,0.675975,20.2598,679,301,274.917,55
135,1.01132,20.6917,680,301,269.373,55
136,0.499863,20.024,675,300,278.044,55
137,0.430264,20.0265,680,299,278.01,55
138,0.243758,21.1427,679,300,263.82,55
139,0.266208,20.3768,680,300,273.392,55
140,1.01631,20.8418,679,300,267.498,55
141,0.377262,20.1437,679,301,276.448,55
142,2.34101,21.4193,674,301,260.529,55
143,1.18149,20.6357,674,302,270.078,55
144,1.12765,20.0125,673,302,278.198,55
145,2.08811,18.9128,672,303,293.809,55
146,1.57645,18.7314,674,304,296.556,55
147,1.78484,19.6626,672,303,282.979,55
148,2.21278,21.6082,670,304,258.328,55
149,1.62994,19.4951,670,304,285.326,55
150,1.81334,19.7223,669,305,282.151,55
151,2.24305,20.2086,666,304,275.59,55
152,3.32918,18.447,665,305,300.971,55
153,1.79798,18.4837,662,302,300.393,55
154,2.11687,18.5332,661,303,299.619,55
155,2.1662,19.4484,659,303,285.988,55
156,1.96148,18.8138,660,301,295.301,55
157,1.90825,18.7491,658,302,296.286,55
158,1.99237,18.4564,655,300,300.823,55
159,1.80724,20.346,656,299,273.792,55
160,2.16736,20.473,650,298,272.151,55
161,1.47202,19.2778,652,299,288.432,55
162,1.94026,20.0575,652,301,277.595,55
163,1.55394,20.7097,652,300,269.146,55
164,2.41536,20.1973,649,300,275.739,55
165,1.95397,19.541,643,303,284.679,55
166,1.83614,20.4407,645,302,272.566,55
167,2.44935,21.894,642,302,255.07,55
168,2.03533,20.8223,641,304,267.741,55
169,2.27698,20.4765,639,303,272.107,55
170,2.34782,21.7784,634,302,256.378,55
171,2.24179,21.437,632,303,260.321,55
172,2.48418,21.9767,631,301,254.143,55
173,2.24349,21.7526,628,301,256.672,55
174,2.22697,21.4995,625,301,259.59,55
175,2.80487,23.1234,625,302,241.958,55
176,2.50732,21.0278,621,303,265.213,55
177,2.2756,34.343,621,304,165.123,55
178,2.60444,31.4995,623,310,179.499,55
179,2.60907,30.6243,623,310,184.452,55
180,3.04422,29.3652,620,310,192.086,55
181,2.40348,29.5267,615,311,191.071,55
182,2.77058,30.2737,614,312,186.515,55
183,3.01267,31.7023,611,312,178.39,55
184,2.7531,25.24,609,311,222.331,55
185,3.18283,24.7609,611,308,226.485,55
186,2.82996,26.2423,612,308,214.123,55
187,3.14404,25.0985,608,307,223.541,55
188,3.31639,25.1833,603,307,222.814,55
189,3.23714,34.5473,600,308,164.179,55
190,3.6913,33.976,590,310,166.845,55
191,3.68605,33.0151,587,310,171.534,55
192,4.05057,31.9841,586,310,176.871,55
193,4.15386,31.3118,577,311,180.538,55
194,4.17555,33.3073,575,311,170.079,55
195,4.58774,56.1523,569,312,102.695,55
196,5.02997,58.4666,536,325,98.7661,55
197,5.25525,57.6572,536,322,100.105,55
198,5.08462,55.916,540,322,103.115,55
199,5.41479,55.4187,535,322,104.008,55
200,5.10078,55.947,530,321,103.059,55
201,5.71795,55.222,525,320,104.366,55
202,5.71559,56.6825,520,321,101.767,55
203,5.96239,53.8825,516,323,106.871,55
204,6.04824,55.7697,511,324,103.376,55
205,6.03788,55.8999,503,326,103.143,55
206,6.46361,53.4291,498,325,107.747,55
207,6.5,50.9334,492,326,112.843,55
208,6.98221,53.7067,487,326,107.209,55
209,7.18308,53.9588,482,326,106.725,55
