frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,35
1,0,35.9728,675,376,0,35
2,0.0714709,36.8021,487,369,0,35
3,0.110937,37.1673,672,376,0,35
4,0.14019,38.9583,671,376,0,35
5,0.0553159,38.6473,677,376,0,35
6,0.0485754,37.6095,677,376,151.249,35
7,0.0644675,36.1718,674,376,157.052,35
8,0.0239106,38.5323,672,377,147.748,35
9,0.0945034,38.3494,680,376,148.429,35
10,0.0839743,37.4953,679,376,151.693,35
11,0.0797224,38.6733,678,376,147.228,35
12,0.117866,38.8094,682,376,146.729,35
13,0.100044,39.0728,680,376,145.774,35
14,0.0322948,39.5207,682,376,144.177,35
15,0.0973735,38.6505,682,376,147.312,35
16,0.144247,40.7112,681,376,140.103,35
17,0.0452745,38.9283,685,376,146.296,35
18,0.0699186,39.7094,682,376,143.516,35
19,0.0533497,40.3712,681,376,141.242,35
20,0.12586,41.0447,684,376,139.003,35
21,0.123686,40.4125,683,376,141.103,35
22,0.119367,41.4949,685,376,137.546,35
23,0.134417,40.869,688,376,139.58,35
24,0.23838,40.9347,689,376,139.364,35
25,0.110206,41.0312,684,376,139.047,35
26,0.0703373,40.394,687,376,141.166,35
27,0.113138,40.4399,685,376,141.011,35
28,0.176132,38.939,685,376,146.258,35
29,0.0703906,38.3802,684,376,148.314,35
30,0.113125,31.7144,683,376,178.324,35
31,0.0930307,39.9881,764,371,142.549,35
32,0.150386,42.021,687,376,135.882,35
33,0.150338,40.3794,690,376,141.215,35
34,0.040546,40.9924,686,376,139.175,35
35,0.0966031,40.8854,689,376,139.526,35
36,0.0852659,41.9167,689,376,136.209,35
37,0.0484484,40.5237,690,376,140.729,35
38,0.0258371,40.0397,688,376,142.372,35
39,1.06688,41.2533,480,370,138.324,35
40,0.188935,39.9044,691,376,142.838,35
41,0.111477,38.7296,689,376,147.021,35
42,1.08604,38.4879,479,371,147.913,35
43,1.15196,33.0639,474,369,171.289,35
44,0.110193,39.3657,762,371,144.726,35
45,1.22856,39.4698,474,369,144.357,35
46,1.20423,39.5029,475,370,144.24,35
47,1.23803,39.7803,473,369,143.269,35
48,1.16829,37.8948,469,368,150.148,35
49,1.15307,42.2757,468,368,135.092,35
