frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,25
1,0,37.0678,823,374,0,25
2,0.0818955,36.1853,826,374,0,25
3,0.0641737,36.4283,825,374,0,25
4,0.153409,36.8779,826,374,0,25
5,0.0735556,36.5051,830,374,0,25
6,0.0674485,37.3249,828,374,152.362,25
7,0.0804386,37.4963,829,374,151.689,25
8,0.0537175,36.4738,827,375,155.795,25
9,0.112948,37.9716,828,375,149.855,25
10,0.122662,36.5951,829,374,155.296,25
11,0.128625,36.9139,827,374,154.001,25
12,0.195573,35.3457,831,374,160.596,25
13,0.108594,35.7202,827,374,158.969,25
14,0.0891297,36.5073,826,374,155.657,25
15,0.0611046,35.4457,829,374,160.158,25
16,0.10579,35.5197,827,374,159.836,25
17,0.0453546,35.9966,829,375,157.79,25
18,0.109233,36.1467,829,374,157.157,25
19,0.109614,36.4488,831,375,155.899,25
20,0.146875,35.7429,829,374,158.872,25
21,0.146731,35.5156,829,375,159.854,25
22,0.064939,36.0811,831,375,157.433,25
23,0.101315,35.5536,830,374,159.688,25
24,0.159162,35.2319,828,375,161.097,25
25,0.110032,35.2282,828,374,161.113,25
26,0.0317237,35.4514,830,375,160.133,25
27,0.175881,35.7623,829,374,158.788,25
28,0.189346,35.3524,827,374,160.566,25
29,0.0741983,35.9113,826,374,158.152,25
30,0.0653491,35.6428,827,375,159.302,25
31,0.134281,35.3187,828,375,160.714,25
32,0.156956,34.9683,824,375,162.27,25
33,0.0806558,34.8508,823,374,162.798,25
34,0.17518,35.1108,827,374,161.633,25
35,0.0297733,35.4482,826,374,160.147,25
36,0.17475,35.7606,827,374,158.796,25
37,0.102132,35.1901,829,374,161.282,25
38,0.140904,35.3182,827,374,160.716,25
39,0.15791,35.4452,827,374,160.16,25
40,0.112163,35.2993,828,374,160.799,25
41,0.0778866,34.8473,828,375,162.814,25
42,0.060712,35.7842,824,374,158.694,25
43,0.108239,35.8465,828,375,158.428,25
44,0.0582196,35.3831,828,374,160.432,25
45,0.0303809,34.6033,831,374,163.922,25
46,0.0210874,35.1386,825,374,161.51,25
47,0.087102,36.1609,824,374,157.097,25
48,0.0859192,34.527,828,375,164.272,25
49,0.0685915,34.863,823,374,162.743,25
50,0.0200037,34.783,826,374,163.105,25
51,0.0311485,35.2735,825,374,160.913,25
52,0.109091,35.2701,825,374,160.928,25
53,0.0807678,35.4721,826,374,160.043,25
54,0.100966,35.1815,827,374,161.32,25
55,0.0241815,35.7082,826,375,159.021,25
56,0.0355568,35.2755,828,374,160.905,25
57,0.0566452,34.7233,828,375,163.375,25
58,0.123134,35.3404,827,375,160.619,25
59,0.158306,35.7876,825,375,158.68,25
60,0.113644,34.8259,828,374,162.911,25
61,0.140159,34.7381,826,374,163.308,25
62,0.0707638,35.7346,826,375,158.907,25
63,0.0810005,35.5582,828,375,159.669,25
64,0.0896722,34.6954,829,375,163.502,25
65,0.132395,34.8339,827,374,162.874,25
66,0.083349,47.7011,825,375,120.22,25
67,0.573714,34.9501,617,371,162.351,25
68,0.125413,34.8184,824,374,162.944,25
69,0.135363,48.4421,823,374,118.443,25
70,0.478193,35.2134,618,371,161.178,25
71,0.0256863,35.6494,825,374,159.274,25
72,0.0783612,35.6892,825,374,159.103,25
73,0.0560204,49.0778,826,374,116.961,25
74,0.323965,47.4225,616,372,120.902,25
75,0.604373,47.7218,617,372,120.17,25
76,0.351955,47.3518,614,372,121.076,25
77,0.408382,47.936,617,371,119.651,25
78,0.423853,48.5289,615,372,118.239,25
79,0.503772,48.6697,614,372,117.908,25
80,0.454401,48.3345,616,373,118.698,25
81,0.428457,49.2153,615,373,116.645,25
82,0.379311,49.1359,613,373,116.827,25
83,0.509879,48.8417,613,372,117.507,25
84,0.401928,35.4172,613,372,160.283,25
85,0.0809759,51.8572,826,375,110.9,25
86,0.358485,49.8061,614,372,115.309,25
87,0.459476,36.3804,614,372,156.182,25
88,0.147548,35.8669,828,375,158.341,25
89,0.102469,35.3745,824,375,160.469,25
90,0.0653129,53.3912,824,375,107.821,25
91,0.445329,35.5342,613,374,159.773,25
92,0.081571,50.5468,827,375,113.676,25
93,0.523346,49.6588,612,373,115.639,25
94,0.436107,49.8924,611,374,115.116,25
95,0.314904,49.9725,610,374,114.938,25
96,0.542081,36.1568,610,374,157.115,25
97,0.2195,52.9153,829,375,108.757,25
98,0.517819,51.6786,610,373,111.27,25
99,0.48937,35.4558,610,375,160.114,25
100,0.0903423,35.1107,827,375,161.634,25
101,0.225404,52.9402,829,375,108.708,25
102,0.519996,35.5706,608,373,159.615,25
103,0.208092,35.7522,823,375,158.832,25
104,0.112292,36.4482,829,375,155.901,25
105,0.0762142,36.8666,828,375,154.192,25
106,0.036752,35.5186,831,375,159.841,25
107,0.104757,36.0594,827,375,157.525,25
108,0.118565,52.433,827,375,109.724,25
109,0.51324,36.3972,605,374,156.112,25
110,0.109495,37.2733,830,375,152.566,25
111,0.0967444,36.4663,828,375,155.826,25
112,0.176585,36.0774,832,375,157.449,25
113,0.0742176,36.9915,827,375,153.688,25
114,0.0238478,55.9842,828,375,102.993,25
