frame_number,flow,bbox_height,center_x,center_y,depth,speed
0,0,0,0,0,0,60
1,0,40.8132,600,393,0,60
2,0.958678,50.7575,603,392,0,60
3,1.41717,53.1136,600,390,0,60
4,2.29478,51.3183,601,392,0,60
5,0,0,0,0,0,60
6,0,0,0,0,0,60
7,0,0,0,0,0,60
8,0,0,0,0,0,60
9,11.6299,40.1097,592,403,142.132,60
10,0,0,0,0,0,60
11,0,0,0,0,0,60
12,0,0,0,0,0,60
13,0,0,0,0,0,60
14,0,0,0,0,0,60
15,0,0,0,0,0,60
16,5.37136,50.6481,590,400,113.456,60
17,1.60043,48.4977,588,399,118.312,60
18,0,0,0,0,0,60
19,0,0,0,0,0,60
20,2.89879,47.5479,599,395,120.594,60
21,0.537683,48.8801,595,395,117.418,60
22,0.550457,50.0552,600,397,114.754,60
23,0,0,0,0,0,60
24,0,0,0,0,0,60
25,2.30146,42.8251,599,393,133.417,60
26,0.742915,48.9086,590,394,117.352,60
27,0.406054,51.9638,598,394,110.68,60
28,0.335852,53.1099,596,393,108.372,60
29,1.00407,55.6165,597,393,103.651,60
30,1.28322,39.2066,599,393,145.293,60
31,0.905605,42.0728,587,395,135.721,60
32,0.431583,35.7843,587,394,158.694,60
33,0.494414,35.8886,584,393,158.248,60
34,0.506457,38.8414,584,394,146.613,60
35,0.952806,51.6569,581,394,111.316,60
36,0.966627,46.3283,585,393,123.659,60
37,1.60054,42.9459,580,395,133.055,60
38,0.956606,38.0485,582,397,149.563,60
39,1.10093,35.1497,579,397,161.461,60
40,1.21264,30.5892,582,398,184.656,60
41,0.75894,32.9272,581,401,171.976,60
42,0.691078,29.2176,592,402,193.023,60
43,0.553939,28.1541,585,401,200.061,60
44,0.470103,29.1448,582,401,193.488,60
45,0.588389,27.9375,583,400,201.559,60
46,0.800517,31.9269,580,400,177.177,60
47,1.16568,32.9228,576,399,171.998,60
48,1.5549,31.2344,581,399,180.971,60
49,1.03771,30.7939,574,395,183.47,60
50,0.914346,32.752,579,396,172.864,60
51,1.34543,37.2425,572,396,152.688,60
52,1.35559,32.6008,577,397,173.639,60
53,1.18479,37.3673,572,398,152.195,60
54,1.26466,36.479,573,399,155.774,60
55,1.25455,30.8973,567,397,182.877,60
56,1.18334,32.3759,567,397,174.803,60
57,1.33878,30.7791,567,396,183.555,60
58,1.32983,30.5207,564,394,185.057,60
59,1.58817,28.1913,565,396,199.806,60
60,2.25473,30.7342,531,391,183.815,60
61,2.08324,31.6787,532,391,178.518,60
62,1.9765,31.3139,537,389,180.527,60
63,1.6843,31.4485,537,389,179.781,60
64,1.63258,30.6276,535,389,184.433,60
65,1.70485,31.9542,535,389,177.032,60
66,1.55055,31.5426,536,390,179.262,60
67,1.63035,31.4987,534,391,179.503,60
68,1.8591,33.8628,533,392,167.384,60
69,2.00262,32.8907,532,392,172.16,60
70,1.84062,32.4298,531,394,174.523,60
71,1.87289,33.9658,530,392,166.894,60
72,2.29917,32.293,528,393,175.237,60
73,2.11767,36.4942,525,393,155.711,60
74,2.14317,36.7982,525,392,154.468,60
75,2.66165,39.1747,524,391,145.407,60
76,2.97007,41.8575,523,389,136.395,60
77,3.12582,38.3986,521,388,148.245,60
78,3.11204,40.4662,520,386,140.922,60
79,2.58398,40.6155,517,385,140.422,60
80,2.74709,43.4508,516,385,131.561,60
81,3.06849,46.8307,512,385,122.378,60
82,3.21085,45.4179,512,384,126.053,60
83,3.19755,44.9288,510,385,127.378,60
84,3.38963,46.5349,509,385,123.129,60
85,3.415,45.2701,507,387,126.45,60
86,2.85629,43.2776,502,387,132.069,60
87,3.88055,47.8234,496,388,119.923,60
88,3.71161,46.0852,497,389,124.289,60
89,3.97225,47.8862,498,389,119.771,60
90,4.28377,50.5949,487,390,113.572,60
91,4.53976,54.7648,486,391,105.208,60
92,5.06027,53.8048,480,391,107.02,60
93,5.34807,56.3501,470,390,102.347,60
94,6.09425,58.0833,464,392,99.3956,60
95,6.53701,70.7935,457,393,82.1018,60
96,6.96804,74.1082,448,398,78.5519,60
97,7.22607,70.7434,442,400,82.1579,60
98,7.57101,71.9756,441,400,80.799,60
99,8.17532,79.3032,434,403,73.5758,60
100,8.9187,92.1492,423,404,63.6436,60
101,9.5418,93.6184,411,415,62.6786,60
102,10.6534,99.9555,399,415,58.8359,60
103,11.5089,101.609,389,416,57.911,60
104,12.8715,107.947,383,418,54.6231,60
105,13.7334,110.702,373,419,53.3096,60
106,15.2796,119.72,361,419,49.4258,60
107,17.3495,133.071,336,419,44.6271,60
108,19.2105,135.447,316,421,43.8707,60
109,21.7816,143.916,304,420,41.3744,60
110,24.9764,147.394,283,426,40.431,60
111,28.2447,170.045,265,429,35.2164,60
112,32.5825,178.526,238,434,33.5991,60
113,37.4082,195.763,217,435,30.737,60
114,42.6839,240.563,190,438,25.1891,60
115,46.9709,288.279,185,449,21.1498,60
116,3.00753,298.229,175,464,20.4678,60
117,0.104796,259.204,163,467,23.4372,60
118,0.864008,267.889,142,463,22.7028,60
119,11.1335,311.318,130,458,19.6359,60
